Comment,Designator,Footprint,LCSC
TPS62160DGKR,IC1,MSOP-8,C60726
SS54,D1,SMB(DO-214AA),C880743
10uF,"C1,C5,C6,C7,",0805_C,C15850
2.2uH,L1,IND-SMD,C92941
100kΩ,R1,0805_R,C149504
220kΩ,R2,0805_R,C17539
47kΩ,R3,0805_R,C17713
22uF,C4,0805_C,C2835558
0.1uF,"C2,C3",0805_C,C49678
MCP2515-I/ST,"IC2,IC4",TSSOP-20,C15193
SN65HVD230,"IC3,IC5",SOIC-8,C12084
120Ω,"R12,R13",0805_R,C17437
560Ω,"R17,R18,R19",0805_R,C28636
10Ω,"R5,R8,R9,R11,R15,R20,R23",0805_R,C17415
1.6kΩ,"R4,R10,R16,R21",0805_R,C2930156
led,"D2,D3,D4,D5,D6,D7,D8",0805,C434432
200Ω,"R6",0805_R,C17540
1kΩ,"R14",0805_R,C17513
100Ω,"R7,R22",0805_R,C17408
PC817,"U2,U3,U4,U5,U6,U7",DIP-4,C3025067
NCV8402ASTT1G,"IC6",SOT223,C77755
